main_required_skill,soft_required_skill,user_skill1,user_skill2,years_experience,user_points
Medical Doctor,Pharmacist,Medical Doctor,Fitness Coach,5,17
Hairdresser / Barber,Artist,Hairdresser / Barber,Veterinarian,2,5
Sports Therapist,Yoga Instructor,Sports Therapist,Machinist,5,17
Teacher,Professor,Teacher,Human Resources Manager,3,8
Marketing Manager,Human Resources Manager,Marketing Manager,AI Development,3,8
Teacher,Professor,Teacher,Barista / Waitor,5,17
Personal Trainer,Fitness Coach,Personal Trainer,Dentist,4,12
Lab Technician,Veterinarian,Lab Technician,Electrician,5,17
Human Resources Manager,Business Analyst,Human Resources Manager,Chemical Engineer,2,5
Judge,Lawyer,Judge,Manager,2,5
Judge,Lawyer,Judge,Back End Developer,3,8
Yoga Instructor,Personal Trainer,Yoga Instructor,Mechanical Engineer,2,5
Chef,Tour Guide,Chef,Teacher,4,12
Translator,Pilot,Translator,Physiotherapist,3,8
Judge,Lawyer,Judge,Jeweler,3,8
Human Resources Manager,Business Analyst,Human Resources Manager,Project Manager,2,5
Dentist,Veterinarian,Dentist,Hotel / Restaurant Manager,4,12
Yoga Instructor,Sports Therapist,Yoga Instructor,Personal Trainer,5,17
Sports Therapist,Fitness Coach,Sports Therapist,Business Analyst,3,8
Jeweler,Hairdresser / Barber,Jeweler,Yoga Instructor,3,8
Hairdresser / Barber,Makeup Artist,Hairdresser / Barber,Flutter Developer,1,3
Lawyer,Judge,Lawyer,Personal Trainer,4,12
Cybersecurity Analyst,Florist,Cybersecurity Analyst,Florist,5,18
Personal Trainer,Fitness Coach,Personal Trainer,Chemical Engineer,2,5
Barista / Waitor,Hotel / Restaurant Manager,Barista / Waitor,Project Manager,5,17
Professor,Teacher,Professor,Back End Developer,5,17
Lab Technician,Pharmacist,Lab Technician,Chef,5,17
Veterinarian,Dentist,Veterinarian,Project Manager,4,12
Lawyer,Judge,Lawyer,Nurse,2,5
Electrical Engineer,UX/UI Designer,Electrical Engineer,Manager,2,5
Tour Guide,Hotel / Restaurant Manager,Tour Guide,Lawyer,4,12
Hotel / Restaurant Manager,Chef,Hotel / Restaurant Manager,Electrician,5,17
Environmental Engineer,Graphic Designer,Environmental Engineer,Graphic Designer,4,13
Teacher,Professor,Teacher,Mechanical Engineer,4,12
Business Analyst,Marketing Manager,Business Analyst,Chef,1,3
Cybersecurity Analyst,Technical Writer,Cybersecurity Analyst,Barista / Waitor,1,3
Biomedical Engineer,Front End Developer,Biomedical Engineer,Hairdresser / Barber,3,8
Dentist,Physiotherapist,Dentist,Solutions Architect,5,17
Mechanical Engineer,IT Engineer,Mechanical Engineer,IT Engineer,4,13
Professor,Teacher,Professor,Human Resources Manager,2,5
Environmental Engineer,Front End Developer,Environmental Engineer,Lab Technician,3,8
Hotel / Restaurant Manager,Barista / Waitor,Hotel / Restaurant Manager,Human Resources Manager,4,12
Technical Writer,Florist,Technical Writer,Human Resources Manager,5,17
Marketing Manager,Human Resources Manager,Marketing Manager,Solutions Architect,1,3
Cybersecurity Analyst,Pilot,Cybersecurity Analyst,Professor,5,17
Civil Engineer,Graphic Designer,Civil Engineer,IT Engineer,2,5
Yoga Instructor,Personal Trainer,Yoga Instructor,Makeup Artist,2,5
Project Manager,Business Analyst,Project Manager,Sports Therapist,3,8
Judge,Lawyer,Judge,Fitness Coach,4,12
Event Planner,Tour Guide,Event Planner,Nurse,3,8
Artist,Jeweler,Artist,IT Engineer,4,12
Back End Developer,Electrical Engineer,Back End Developer,Biomedical Engineer,2,5
Lawyer,Judge,Lawyer,Translator,1,3
Artist,Jeweler,Artist,Biomedical Engineer,5,17
Judge,Lawyer,Judge,Game Developer,3,8
Pharmacist,Lab Technician,Pharmacist,Front End Developer,4,12
Nurse,Veterinarian,Nurse,Game Developer,2,5
Fitness Coach,Sports Therapist,Fitness Coach,UX/UI Designer,2,5
Professor,Teacher,Professor,Technical Writer,2,5
Yoga Instructor,Personal Trainer,Yoga Instructor,Pilot,4,12
Judge,Lawyer,Judge,Graphic Designer,4,12
Yoga Instructor,Personal Trainer,Yoga Instructor,Machinist,1,3
Lab Technician,Physiotherapist,Lab Technician,Makeup Artist,1,3
Project Manager,Human Resources Manager,Project Manager,Veterinarian,5,17
Teacher,Professor,Teacher,Full Stack Developer,5,17
Machinist,Florist,Machinist,Back End Developer,5,17
Personal Trainer,Fitness Coach,Personal Trainer,AI Development,5,17
Jeweler,Artist,Jeweler,Physiotherapist,1,3
Marketing Manager,Human Resources Manager,Marketing Manager,Hotel / Restaurant Manager,5,17
Florist,Pilot,Florist,Event Planner,3,8
Veterinarian,Nurse,Veterinarian,Mechanical Engineer,5,17
Human Resources Manager,Project Manager,Human Resources Manager,Makeup Artist,2,5
Mechanical Engineer,Back End Developer,Mechanical Engineer,Cybersecurity Analyst,2,5
Event Planner,Hotel / Restaurant Manager,Event Planner,IT Engineer,1,3
Manager,Project Manager,Manager,Barista / Waitor,1,3
Judge,Lawyer,Judge,Lawyer,1,4
Lawyer,Judge,Lawyer,Artist,1,3
Yoga Instructor,Fitness Coach,Yoga Instructor,Environmental Engineer,2,5
Event Planner,Hotel / Restaurant Manager,Event Planner,Dentist,3,8
Judge,Lawyer,Judge,Mechanical Engineer,2,5
Full Stack Developer,Chemical Engineer,Full Stack Developer,Physiotherapist,3,8
Professor,Teacher,Professor,Project Manager,3,8
Lawyer,Judge,Lawyer,Teacher,3,8
Project Manager,Manager,Project Manager,Physiotherapist,2,5
Electrician,Pilot,Electrician,Graphic Designer,5,17
Yoga Instructor,Personal Trainer,Yoga Instructor,Translator,2,5
Chef,Event Planner,Chef,Back End Developer,4,12
Event Planner,Barista / Waitor,Event Planner,Hairdresser / Barber,4,12
Medical Doctor,Dentist,Medical Doctor,Artist,3,8
Hairdresser / Barber,Artist,Hairdresser / Barber,Manager,3,8
Judge,Lawyer,Judge,Electrician,1,3
Judge,Lawyer,Judge,Lawyer,2,6
Marketing Manager,Manager,Marketing Manager,Personal Trainer,4,12
Physiotherapist,Medical Doctor,Physiotherapist,Chef,5,17
Business Analyst,Marketing Manager,Business Analyst,Mechanical Engineer,3,8
Makeup Artist,Hairdresser / Barber,Makeup Artist,Business Analyst,4,12
Yoga Instructor,Fitness Coach,Yoga Instructor,Machinist,1,3
Lawyer,Judge,Lawyer,Front End Developer,1,3
Electrician,Translator,Electrician,Personal Trainer,2,5
Judge,Lawyer,Judge,Florist,5,17
Lawyer,Judge,Lawyer,Yoga Instructor,1,3
Tour Guide,Event Planner,Tour Guide,Personal Trainer,4,12
Judge,Lawyer,Judge,Pilot,1,3
Fitness Coach,Personal Trainer,Fitness Coach,UX/UI Designer,5,17
Professor,Teacher,Professor,Event Planner,5,17
Physiotherapist,Veterinarian,Physiotherapist,Lab Technician,3,8
Chemical Engineer,Solutions Architect,Chemical Engineer,Hotel / Restaurant Manager,2,5
Personal Trainer,Fitness Coach,Personal Trainer,Makeup Artist,4,12
Makeup Artist,Hairdresser / Barber,Makeup Artist,Lab Technician,3,8
Hairdresser / Barber,Artist,Hairdresser / Barber,Translator,5,17
Nurse,Medical Doctor,Nurse,Yoga Instructor,2,5
Fitness Coach,Personal Trainer,Fitness Coach,Project Manager,3,8
Technical Writer,Pilot,Technical Writer,Translator,4,12
